Company Name | CEO name ,Google Reviews ,State ,Phone Number,Reach Out Response ,Last Reach Out ,Next Reach Out,Owners Name,Amount of Calls,Who called ,Email ,,Total dialed,Intro meeting rate,Calls made by Leonard,Calls made by Tommaso,Calls made by John,Calls made by Sunzim,Calls made by Daniel,Calls made by Ellison 
"Fawley Overhead Door, Inc.",3941,MI,12694431093,Left a message to the owner,03/06/26,03/20/26,Tom,1,Tommaso,,,158,0.0253164557,101,10,6,10,8,12
Exteriors of Lansing Inc,2386,MI,15173713100,Did not pick up ,03/06/26,03/20/26,Tim Booth,1,Tommaso,,,,,,,,,,
Dover and Company- Garage & Entry Doors,2110,MI,18102352573,Left a message to the owner,03/06/26,03/20/26,,1,Tommaso,,,,,,,,,,
Rise & Shine Garage Doors,"1,955",MN,16125096798,Did not pick up ,03/06/26,03/20/26,Josh,1,Tommaso,,,,,,,,,,
On Track Garage Door Repair,1799,MN,17632997055,Did not reach the Owner ,03/06/26,03/20/26,,1,Tommaso,,,,,,,,,,
Ingstrup Garage Doors,1756,MI,15179170982,Did not reach the Owner ,03/06/26,03/20/26,,1,Tommaso,sales@ingstrup.com,,,,,,,,,
Precision Garage Door Service | mike brickner president,1633,PA,17175371646,Did not reach the Owner ,03/06/26,03/20/26,,1,Tommaso,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Elite Garage Door Repair,"1,586",MN,16126054587,Did not reach the Owner ,03/06/26,03/20/26,,1,Tommaso,,,,,,,,,,
Compaan Door & Operator Co.,1364,MI,16163921155,Left a message to the owner,3/6/2026,3/20/2026,,,,,,,,,,,,,
Reliable Garage Door,1356,MN,16123398828,Did not reach the Owner ,,14,,,,,,,,,,,,,
All Seasons Garage Door,"1,338",MN,17637550210,Did not pick up ,,14,,,,,,,,,,,,,
All Seasons Garage Door,1338,MN,17637550210,Did not pick up ,,14,,,,,,,,,,,,,
Superior Garage Door Repair - Minneapolis,1319,MN,16129991228,Did not pick up ,,14,,,,,,,,,,,,,
Plyler Entry Systems,1300,PA,18144767717,Did not pick up ,,14,,,,,,,,,,,,,
Quality Door,1187,MI,16165458447,Did not pick up ,,14,,,,,,,,,,,,,
Thomas V Giel Garage Doors Inc,1076,PA,17244431437,Did not reach the Owner ,03/06/26,03/20/26,,1,Tommaso,Call back on Monday,,,,,,,,,
The Jaydor Company,1071,PA,16104677344,Did not reach the Owner ,03/06/26,03/20/26,,1,Tommaso,,,,,,,,,,
Rise & Shine Garage Doors,"1,055",MN,16122301818,Did not pick up ,3/6/2026,3/20/2026,,1,Sunzim,,,,,,,,,,
Precision Overhead Garage Door Service of York,1028,PA,17179216152,Did not pick up ,03/06/26,03/20/26,Ed Hesling,1,Sunzim,,,,,,,,,,
Shank Door,1000,PA,17179334134,Did not pick up ,3/6/2026,3/20/2026,,1,Sunzim,,,,,,,,,,
Interstate Garage Doors Inc,825,PA,17172633150,Did not reach the Owner ,03/06/26,03/20/26,Dean Horst,1,Sunzim,,,,,,,,,,
